"wordCol","yearCol","countCol"
"falling",1955,1
"appeal",1955,1
"halts",1955,2
"drastic",1955,2
"explosion",1955,2
"gula",1955,1
"climbs",1955,1
"honour",1955,1
"funeral",1955,4
"seccond",1955,1
"french",1955,5
"agreement",1955,1
"water",1955,7
"airfields",1955,1
"mudas",1955,1
"rubbers",1955,1
"alone",1955,3
"sherson",1955,1
"hoops",1955,1
"teacher",1955,2
"change",1955,6
"wait",1955,8
"box",1955,1
"boy",1955,37
"flames",1955,1
"snubbed",1955,1
"salvage",1955,1
"furnaces",1955,1
"guilty",1955,4
"jungles",1955,1
"bow",1955,1
"trial",1955,2
"bangs",1955,1
"exams",1955,2
"bon",1955,1
"kemp",1955,1
"homecoming",1955,1
"turnback",1955,1
"love",1955,7
"somersaults",1955,1
"shelled",1955,1
"extra",1955,2
"chaired",1955,1
"prefer",1955,2
"marked",1955,1
"losing",1955,2
"jolts",1955,1
"controls",1955,2
"plots",1955,1
"mckenna",1955,1
"briton",1955,1
"crisis",1955,30
"market",1955,5
"hotels",1955,4
"sweating",1955,1
"permitted",1955,1
"mtuc",1955,1
"troops",1955,18
"hector",1955,1
"angry",1955,5
"visit",1955,26
"angela",1955,1
"france",1955,3
"capsizes",1955,4
"sleeping",1955,3
"somersault",1955,1
"memory",1955,1
"australian",1955,3
"today",1955,50
"scratched",1955,1
"riot",1955,12
"club",1955,4
"cashier",1955,6
"malay",1955,3
"clue",1955,3
"casey",1955,2
"downing",1955,1
"swing",1955,1
"earth",1955,1
"tobacco",1955,1
"haadyai",1955,1
"pageant",1955,1
"boiling",1955,1
"car",1955,21
"flu",1955,1
"brakes",1955,1
"cat",1955,2
"purge",1955,1
"impasse",1955,1
"drags",1955,1
"shophouses",1955,1
"making",1955,4
"tune",1955,1
"arrive",1955,2
"bites",1955,1
"dollars",1955,3
"smelter",1955,1
"social",1955,1
"claim",1955,6
"citizens",1955,1
"stream",1955,1
"frogs",1955,1
"december",1955,1
"winston",1955,4
"miihiijii",1955,1
"agent",1955,1
"expectant",1955,1
"topic",1955,2
"cows",1955,1
"muar",1955,1
"chin",1955,20
"purity",1955,1
"council",1955,18
"serum",1955,1
"listens",1955,1
"dogfight",1955,1
"winter",1955,1
"grousing",1955,1
"poking",1955,1
"dinner",1955,1
"sunday",1955,2
"vital",1955,3
"cardinal",1955,2
"fourth",1955,1
"elephant",1955,1
"speaks",1955,4
"strays",1955,1
"goode",1955,1
"map",1955,1
"mau",1955,3
"crashes",1955,5
"keepsake",1955,1
"wonderful",1955,1
"use",1955,1
"spot",1955,5
"dazzle",1955,1
"crashed",1955,1
"dato",1955,14
"birthday",1955,7
"date",1955,10
"heroes",1955,1
"revealed",1955,1
"murderess",1955,1
"mao",1955,3
"man",1955,76
"tories",1955,1
"released",1955,1
"remember",1955,2
"adviser",1955,1
"burglars",1955,1
"st",1955,2
"tale",1955,4
"switch",1955,1
"tonggram",1955,1
"african",1955,2
"nour",1955,1
"truce",1955,1
"travel",1955,1
"talk",1955,15
"gef",1955,1
"remand",1955,1
"hendl",1955,1
"shield",1955,1
"duke",1955,4
"cathedral",1955,1
"valley",1955,1
"forfeit",1955,1
"haircut",1955,1
"midnight",1955,2
"denial",1955,1
"years",1955,15
"brain",1955,1
"wreckers",1955,2
"shake",1955,1
"aslave",1955,1
"managers",1955,1
"cold",1955,6
"birds",1955,3
"blocked",1955,1
"police",1955,59
"thank",1955,2
"symonds",1955,3
"torn",1955,1
"phibun",1955,1
"jim",1955,1
"troubles",1955,2
"amazing",1955,1
"councillor",1955,1
"napping",1955,1
"window",1955,1
"offers",1955,2
"lorry",1955,9
"farmer",1955,2
"policy",1955,3
"mail",1955,3
"prisoners",1955,5
"petition",1955,2
"cutter",1955,1
"halt",1955,5
"smash",1955,4
"killer",1955,7
"course",1955,1
"kotelawala",1955,3
"caine",1955,1
"killed",1955,56
"wont",1955,7
"wagon",1955,1
"term",1955,1
"argentina",1955,1
"name",1955,8
"uncertain",1955,1
"drop",1955,8
"apaches",1955,1
"batu",1955,1
"wong",1955,2
"rock",1955,2
"amnesty",1955,23
"caronia",1955,1
"em",1955,1
"style",1955,1
"fired",1955,6
"lam",1955,1
"cairo",1955,2
"whisky",1955,1
"mambo",1955,1
"cabby",1955,3
"selangor",1955,3
"fires",1955,2
"manifesto",1955,2
"farewell",1955,2
"begum",1955,1
"year",1955,13
"hurries",1955,1
"girl",1955,54
"morning",1955,3
"hetirns",1955,1
"pills",1955,1
"es",1955,1
"tried",1955,4
"naked",1955,1
"sybil",1955,1
"mendes",1955,1
"space",1955,1
"profit",1955,1
"lewd",1955,2
"interference",1955,1
"shb",1955,4
"cancels",1955,1
"increase",1955,1
"exploding",1955,2
"braga",1955,1
"hacked",1955,1
"preface",1955,1
"formula",1955,2
"katie",1955,1
"assurance",1955,1
"shows",1955,1
"hule",1955,1
"quare",1955,1
"cabinet",1955,4
"mlalaya",1955,1
"monster",1955,1
"wan",1955,1
"cars",1955,6
"fort",1955,1
"saboteurs",1955,2
"vicious",1955,2
"rebel",1955,3
"plea",1955,7
"thrice",1955,1
"quits",1955,7
"card",1955,2
"care",1955,1
"advance",1955,1
"training",1955,1
"fixed",1955,2
"language",1955,1
"ministry",1955,3
"british",1955,9
"turn",1955,6
"grabs",1955,1
"place",1955,2
"graf",1955,1
"routes",1955,1
"turf",1955,2
"promotion",1955,1
"widow",1955,4
"othman",1955,1
"neglect",1955,1
"chongsam",1955,2
"first",1955,16
"blind",1955,3
"tennis",1955,1
"onn",1955,7
"pick",1955,2
"fleeing",1955,1
"besieged",1955,1
"coming",1955,5
"company",1955,1
"reopen",1955,1
"long",1955,5
"suspended",1955,1
"vote",1955,6
"malacca",1955,4
"message",1955,3
"weds",1955,5
"fiji",1955,1
"tomorrow",1955,3
"dole",1955,1
"millions",1955,5
"iam",1955,1
"city",1955,21
"given",1955,2
"borderers",1955,1
"sheet",1955,1
"silent",1955,3
"wehrmacht",1955,1
"caught",1955,5
"yin",1955,1
"brigadiers",1955,1
"extortion",1955,2
"pergau",1955,2
"returns",1955,5
"tragic",1955,1
"backwoods",1955,1
"fiery",1955,1
"friend",1955,6
"gives",1955,18
"etective",1955,1
"eyes",1955,5
"quay",1955,2
"mersing",1955,1
"brains",1955,1
"moscow",1955,3
"gratuities",1955,1
"badminton",1955,1
"snatch",1955,4
"hut",1955,1
"hillary",1955,2
"italys",1955,1
"slashed",1955,4
"shirley",1955,1
"copy",1955,3
"png",1955,1
"overhand",1955,1
"banner",1955,1
"future",1955,4
"venture",1955,1
"cards",1955,1
"poisoning",1955,1
"marines",1955,1
"oath",1955,1
"russia",1955,10
"files",1955,2
"gathering",1955,1
"illness",1955,1
"alles",1955,1
"san",1955,2
"angel",1955,1
"slay",1955,1
"whiskies",1955,1
"troja",1955,1
"premier",1955,5
"turned",1955,3
"briefs",1955,1
"jewels",1955,3
"sad",1955,2
"dash",1955,5
"medical",1955,1
"say",1955,24
"conspiracy",1955,1
"suspense",1955,1
"buried",1955,2
"foiled",1955,8
"portrait",1955,1
"newsman",1955,1
"wedded",1955,1
"saw",1955,4
"oleum",1955,1
"bait",1955,3
"russias",1955,1
"opened",1955,1
"prosperity",1955,1
"hooded",1955,1
"evens",1955,1
"mourners",1955,1
"shocked",1955,1
"note",1955,9
"venue",1955,1
"squad",1955,1
"take",1955,8
